Unique_ID,Reference,yyyy,mm,Location,waters,Zone,Technology,Technology.mentioned,Effort,method,precision..high..med..low.,latitude,longitude,Fish,Details,lgest.spper,units,weight_conversion,largest.jewfish,largest.dhufish.kg,number,n.jewfish,n.spper,Species,me.s,X.Suggested..N.fishers,X.Suggested..N.boats.party,X.Suggested..Time.hrs,X.Suggested..Time.days,Effort.N,Effort.desc,Effort.time,Effort.time.desc,X,X.1,ALYSES,origil_details,details_check,terms,baldchin_groper,blue_groper,dhufish,groper_nondescript,pink_spper,queen_spper,grey_banded_cod,breaksea,whaler_shark,wobbegong,flathead,garfish,grey_nurse,gummy_shark_complex,hammerhead,hapuka,harlequin,herring,john_dory,king_george_whiting,silver_trevally,whiting,great_white,port_jackson,all_sharks,fish_number,max_number,dhu_specific_weight,pink_specific_weight,kg_mentioned,lb_mentioned,both_units
541,ST 21041968 p.46,1968,4,Point Peron,coastal,8,,,2 fishers,shore,,,,spper,"two spper, 23 lb largest",23,lb,0.453592,,0,2,0,2,,,,,,,,,,,,,,"two spper, 23 lb largest","two , 23 lb largest","spper two spper, 23 lb largest",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spper_2,23,,23,FALSE,TRUE,FALSE_TRUE
550,ST 21071968 p.60,1968,7,Rottnest,midshore,4,,,"1 party, Deepsea Angling Club",boat,,,,hammerhead shark,6 ft,,,,,0,1,0,0,,"Harry Bensky, Tom Kurstra",1,2,,,,,,,,,,6 ft,6 ft,hammerhead shark 6 ft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,hammerhead shark_1,6,,,FALSE,FALSE,FALSE_FALSE
535,ST 21031965 p.52,1968,3,"Rottnest, 17 miles northwest, 140-150 ft depth",offshore,1,Uses echo sounder; averages 12 jewfish per trip,,1 fisher,boat,,,,jewfish,"fourteen jewfish, 30 lb largest; spper; shark; baldchin groper; blue groper.",,lb,0.453592,30,13.60776,18,14,1,,"Sandy Groth, John Lindau, Stan Lowlands",3,1,,,,,,,,,,"fourteen jewfish, 30 lb largest; spper; shark; baldchin groper; blue groper.","fourteen , 30 lb largest; ; ; ; .","jewfish fourteen jewfish, 30 lb largest; spper; shark; baldchin groper; A_gouldii.",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,jewfish_18,30,30,,FALSE,TRUE,FALSE_TRUE
562,ST 17111968 p.122,1968,11,"Rottnest, 6 to 10 miles northwest of",offshore,1,Grosevor Bluewater Club,,"1 party, Grosevnor Blue Water Angling Club",boat,,,,"jewfish, sharks, reef fish","six jewfish, 20 lb largest; sharks; reef fish",,lb,0.453592,20,9.07184,8,6,0,,"Torchy Lucas, Dido Pericles, Geoff Taylor",3,1,,,,,,,,,,"six jewfish, 20 lb largest; sharks; reef fish","six , 20 lb largest; ; ","jewfish, sharks, reef fish six jewfish, 20 lb largest; sharks; reef fish",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"jewfish, sharks, reef fish_8",20,20,,FALSE,TRUE,FALSE_TRUE
553,ST 11081968 p.50,1968,8,"Rottnest, north of",midshore,1,,,"1 party, Deepsea Angling Club",boat,,,,"jewfish, blue groper, gummy sharks","ten jewfish, 24 lb largest; three gummy sharks; one blue groper, 18 lb",,lb,0.453592,24,10.886208,14,10,0,,Joe Mitchell,,1,,,,,,,,,,"ten jewfish, 24 lb largest; three gummy sharks; one blue groper, 18 lb","ten , 24 lb largest; three ; one , 18 lb","jewfish, A_gouldii, gummy sharks ten jewfish, 24 lb largest; three gummy sharks; one A_gouldii, 18 lb",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"jewfish, blue groper, gummy sharks_14",24,24,,FALSE,TRUE,FALSE_TRUE
565,ST 15121968 p.106,1968,12,"Rottnest, north of",midshore,1,Grosevor Bluewater Club,,"1 party, Grosevnor Blue Water Angling Club",boat,,,,"jewfish, queen spper, gummy shark","seven jewfish, 16 lb largest; N_valenciennesi; gummy shark, 18 lb",,lb,0.453592,16,7.257472,9,7,0,,"Dick Brand, Win Annera, Wilf Johnson",3,1,,,,,,,,,,"seven jewfish, 16 lb largest; queen spper; gummy shark, 18 lb","seven , 16 lb largest; ; , 18 lb","jewfish, N_valenciennesi, gummy shark seven jewfish, 16 lb largest; N_valenciennesi; gummy shark, 18 lb",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"jewfish, queen spper, gummy shark_9",18,16,,FALSE,TRUE,FALSE_TRUE
530,ST 25021968 p.52,1968,2,"Rottnest, north of West End",midshore,1,,,Grosevnor Bluewater AnglinG Club,boat,,,,jewfish,"nine jewfish, 25 lb largest; nine baldchin groper",,lb,0.453592,25,11.3398,18,9,0,,"Dido Pericles, Jack Darlison",2,1,,,,,,,,,,"nine jewfish, 25 lb largest; nine baldchin groper","nine , 25 lb largest; nine ","jewfish nine jewfish, 25 lb largest; nine baldchin groper",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_18,25,25,,FALSE,TRUE,FALSE_TRUE
561,ST 17111968 p.122,1968,11,"Rottnest, northwest of",midshore,1,Deep Sea Angling Club,,"1 party, Deepsea Angling Club",boat,,,,"jewfish, harlequin fish, queen spper, morwong, rock cod, shark","eight jewfish, 22 lb largest; harlequin fish; N_valenciennesi; morwong; rock cod; two a variety of sharks",,lb,0.453592,22,9.979024,13,8,0,,"Frank Marshall, Tony Berti, Bill Pretl, Tom Kursta",4,1,,,,,,,,,,"eight jewfish, 22 lb largest; harlequin fish; queen spper; morwong; rock cod; two [a variety of ]sharks","eight , 22 lb largest; ; ; ; ; two [a variety of ]","jewfish, harlequin fish, N_valenciennesi, morwong, rock cod, shark eight jewfish, 22 lb largest; harlequin fish; N_valenciennesi; morwong; rock cod; two [a variety of ]sharks",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"jewfish, harlequin fish, queen spper, morwong, rock cod, shark_13",22,22,,FALSE,TRUE,FALSE_TRUE
548,ST 30061968 p.44,1968,6,"Rottnest, off North Point",midshore,4,New state record (spearfshing),,1 spearfisher,shore,,,,parrot fish,1 lb 5 oz,,lb,0.453592,,0,1,0,0,,Norman Beurteaux,1,,,,,,,,,,,1 lb 5 oz,1 lb 5 oz,parrot fish 1 lb 5 oz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parrot fish_1,5,,,FALSE,TRUE,FALSE_TRUE
559,ST 10111968 p.100,1968,11,"Rottnest, reefs 30 miles north-west of",offshore,1,"high speed trip', leaving Fremantle 7:30am returning noon",,"2 fishers, 1 boat",boat,,,,jewfish,"eight jewfish, 34 lb largest",,lb,0.453592,34,15.422128,8,8,0,,"Jack Slocombe, Len Murray",2,1,4.5,,,,,,,,,"eight jewfish, 34 lb largest","eight , 34 lb largest","jewfish eight jewfish, 34 lb largest",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_8,34,34,,FALSE,TRUE,FALSE_TRUE
