"","ID","yyyy","month","largest.dhufish.kg","Zone","latitude","scientific","echo_sounders","gps","bathy","depth","depth_zone","geometry"
"115",115,1959,"8",19.050864,"nearshore_north",-31.8916489447231,"fish.size","pre","pre",-14.5154075622559,14.5154075622559,"nearshore",c(115.707778998506, -31.8916489447231)
"116",116,1959,"8",9.07184,"nearshore_south",-32.1604422215637,"fish.size","pre","pre",-19.6215896606445,19.6215896606445,"nearshore",c(115.717434937133, -32.1604422215637)
"117",117,1959,"8",11.3398,"nearshore_north",-31.8916489447231,"fish.size","pre","pre",-14.5154075622559,14.5154075622559,"nearshore",c(115.707778998506, -31.8916489447231)
"118",118,1959,"8",16.329312,"nearshore_north",-31.9874079620494,"fish.size","pre","pre",-16.1263332366943,16.1263332366943,"nearshore",c(115.649876039345, -31.9874079620494)
"119",119,1959,"9",11.3398,"nearshore_north",-31.9874079620494,"fish.size","pre","pre",-16.1263332366943,16.1263332366943,"nearshore",c(115.649876039345, -31.9874079620494)
"120",120,1959,"11",9.07184,"offshore_north",-31.5724020933626,"fish.size","pre","pre",-34.5505752563477,34.5505752563477,"inshore_demersal",c(115.440182926332, -31.5724020933626)
"121",121,1959,"11",4.989512,"nearshore_north",-31.8691488361996,"fish.size","pre","pre",-10.7307157516479,10.7307157516479,"nearshore",c(115.715680535788, -31.8691488361996)
"122",122,1959,"11",10.886208,"nearshore_north",-31.8308278714695,"fish.size","pre","pre",-16.4791870117188,16.4791870117188,"nearshore",c(115.690498304767, -31.8308278714695)
"123",123,1959,"12",12.47378,"nearshore_north",-31.8256812286861,"fish.size","pre","pre",-6.43668174743652,6.43668174743652,"nearshore",c(115.706046542592, -31.8256812286861)
"124",124,1959,"12",11.793392,"nearshore_north",-31.8308278714695,"fish.size","pre","pre",-16.4791870117188,16.4791870117188,"nearshore",c(115.690498304767, -31.8308278714695)
"125",125,1960,"1",10.886208,"nearshore_north",-31.8315921743211,"fish.size","pre","pre",-17.6626930236816,17.6626930236816,"nearshore",c(115.680748247684, -31.8315921743211)
"126",126,1960,"1",7.257472,"nearshore_north",-31.8346585575377,"fish.size","pre","pre",-20.9336357116699,20.9336357116699,"inshore_demersal",c(115.674840250451, -31.8346585575377)
