yyyy,mm,Decade,Location,Zone,...5,Fish,number,size,largest.jewfish,largest.dhufish.kg,Reference,,,,
1919,NA,,Perth region,NA,boat,,,,22,,19190329WA,,,,
1919,5,,Perth region,,boat,,,,30,,19190523WA,,,,
1919,11,,Stragglers,,,,,,17,,19191114WA,,,,
1920,,,stragglers,,,,,,14,,19200415WA,,,"Note: searches split into newspapers, starting with WA",
1921,,,chmpion reef (rottnest?),,,,,,18,,19210413WA,,,,
1922,,,champion or kingston reefs,,,,,,26,,19220421WA,,,,
1923,,,champion reef,,,,,,21,,19230208WA,,,,
1924,,,Stragglers,,,,,,6,,19240829WA,,,,
1925,,,Kingston reef,,,,,,8,,19250214WA,,,,
1926,,,Roe reef,,,,,,36,,19261119WA,,,,
1927,,,champion reef,,,,,,8,,19271019WA,,,,
1928,,,"five fathom back, near garden island",,,,,,35,,19281011WA,,,,
,,,,,,,,,,,,,,,
1933,,,,,,,,,,,19330515WA,,,,"""beginning of depression saw an end to the clubs competetive activities"""
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1924,NA,1920-1929,"Safety Bay, Coventry, Five Fathom Bank, Garden Island",10,boat,jewfish,1,36 lb,36,16.329312,19240424WA,,,,
1930,9,1930-1939,Rottnest Island,4,boat,jewfish,1,40 lb,40,18.14368,19300930DN,,,,
1931,NA,1930-1939,Rottnest Island area,4,boat,jewfish,NA,catch totalling 138 lb,,0,19310114WA,,,,
,,,,,,,,,,,,,,,
1931,,,Penguin island passage,,,,,,12,,19310620BSDW,,,,
,,,,,,,,,,,,,,,
1936,,,"off rottnest, 10 miles from island",,,,,,20,,19360223WA,,,,
,,,,,,,,,,,,,,,
1936,NA,1930-1939,Rottnest Island,4,boat,jewfish,1,30 lb,30,13.60776,19541007WA,,,,
1947,NA,NA,Marmion Bay,3,small boat,jewfish,4,averaging 15 lb,15,0,19470320WA,,,,
1951,NA,NA,outside Fremantle,6,boat,jewfish,2,14lb & 3lb,14,6.350288,19510212WA,,,,
1951,NA,NA,"Rottnest Island, Geordie Bay",4,boat,jewfish,1,35 lb,35,15.87572,19541007WA,,,,
1952,NA,NA,Carnac Island area,6,boat,jewfish,1,NA,,0,19520703WA,,,,
1952,7,NA,"Carnac Island, sandpatch",6,boat,jewfish,1,15 lb,15,6.80388,19520703WA,,,,
1952,NA,NA,"Green Island Bay, Rottnest Island",4,boat,jewfish,1,23 lb,23,10.432616,19520501WA,,,,
1952,NA,NA,off Rottnest Island,4,boat,jewfish,5,largest 29.25 lb,29.25,13.267566,19520925WA,,,,
1952,NA,NA,"off West End, Rottnest",4,boat,jewfish,NA,NA,,0,19520522WA,,,,
1952,NA,NA,"off West End, Rottnest",4,boat,jewfish,14,"130 lb total, largest 27 lb",27,12.246984,19520501WA,,,,
1952,7,NA,"Porpoise Bay, Rottnest Island",4,boat,jewfish,1,NA,,0,19520703WA,,,,
1952,NA,NA,Rottnest Island,4,boat,jewfish,14,"total of 130lb, largest 27lb",27,12.246984,19520501WA,,,,
1952,NA,NA,Rottnest Island,4,boat,jewfish,4,largest 27lb,27,12.246984,19520602WA,,,,
1952,NA,NA,Rottnest Island,4,boat,jewfish,1,15 lb,15,6.80388,19520626WA,,,,
1952,NA,NA,"Rottnest Island, Geordie Bay",4,boat,jewfish,1,42 lb,42,19.050864,19541007WA,,,,
