"","iteration","deviance_explained","aic","s_distance_p_value","s_yyyyinshore_p_value","s_yyyynearshore_p_value"
"s(distance)55",56,0.160023374162854,4942.38387449372,0.0399631898087832,0,6.81015308645616e-07
"s(distance)56",57,0.161247875844368,4940.66381170422,0.0304236020911606,0,6.25926297668222e-05
"s(distance)57",58,0.158866760293823,4945.32450898888,0.072968150286138,0,4.35848367797975e-05
"s(distance)58",59,0.158994040672536,4945.43415927121,0.0869061954396844,0,4.70993444967593e-07
"s(distance)59",60,0.166369823009153,4937.25520756519,0.0332056795096579,0,1.31622338012116e-06
"s(distance)60",61,0.162565126304081,4942.28210829715,0.0491499346009195,0,1.77299284698229e-06
"s(distance)61",62,0.162790269009193,4942.30545082208,0.0345276752351066,0,5.32208168346759e-06
"s(distance)62",63,0.165390224003936,4939.44935886892,0.114299412446417,0,0.00018326753983261
"s(distance)63",64,0.168783209473066,4936.09639531972,0.00645527856401884,0,0.000762187219702171
"s(distance)64",65,0.15643581689601,4947.87829527504,0.154357474045639,0,1.85512302741664e-07
"s(distance)65",66,0.164397985731807,4938.72628386992,0.0236935445731303,0,0
"s(distance)66",67,0.165132158864639,4939.2607241814,0.0573168670801774,0,0
"s(distance)67",68,0.160470646285596,4942.04059711516,0.0109482509505287,0,1.92936145193556e-06
